run_id,variant,sample,bin_index_1_based,reference_upper_edge_um,reproduced_upper_edge_um,reference_mean_velocity,reproduced_mean_velocity,signed_error,absolute_error,reproduced_stdev,reproduced_observations
A06_control,A_legacy,control,1,3.776315789473684,3.776315789473684,463.581574911175,221.3360081155305,-242.2455667956445,242.2455667956445,31.504399037933315,22732
A06_control,A_legacy,control,2,7.552631578947368,7.552631578947368,479.8822450752279,218.5675499972257,-261.31469507800216,261.31469507800216,31.31046749129566,21864
A06_control,A_legacy,control,3,11.32894736842105,11.328947368421053,486.8157178991975,217.32886719018725,-269.48685070901024,269.48685070901024,29.748087609087918,20328
A06_control,A_legacy,control,4,15.10526315789474,15.105263157894736,492.9779131604483,216.8436447500399,-276.13426841040837,276.13426841040837,28.438862672222662,20696
A06_control,A_legacy,control,5,18.88157894736842,18.881578947368425,509.0915952734761,216.08253855688017,-293.009056716596,293.009056716596,27.107379689363448,17696
A06_control,A_legacy,control,6,22.65789473684211,22.657894736842106,518.9359718846018,214.41559396452485,-304.52037792007695,304.52037792007695,27.1757785007281,18105
A06_control,A_legacy,control,7,26.43421052631579,26.434210526315788,523.9541438077175,210.28953724574063,-313.6646065619769,313.6646065619769,26.639902953009013,23978
A06_control,A_legacy,control,8,30.21052631578947,30.210526315789473,525.3635252468608,207.6775895512166,-317.6859356956442,317.6859356956442,27.48032161842233,19992
A06_control,A_legacy,control,9,33.98684210526316,33.98684210526316,527.2624271378364,206.66335050877257,-320.59907662906386,320.59907662906386,28.088389050777884,19639
A06_control,A_legacy,control,10,37.76315789473685,37.76315789473685,528.2306309824129,205.8785767027212,-322.3520542796917,322.3520542796917,27.76206542420893,22441
A06_control,A_legacy,control,11,41.53947368421053,41.53947368421053,529.4324597532669,206.7583195326737,-322.67414022059324,322.67414022059324,28.127835863391187,19129
A06_control,A_legacy,control,12,45.31578947368421,45.31578947368421,529.5276446960855,206.73176784334666,-322.79587685273884,322.79587685273884,28.563674979028505,19737
A06_control,A_legacy,control,13,49.0921052631579,49.0921052631579,529.257119815141,211.323245485154,-317.933874329987,317.933874329987,27.205449436750015,25380
A06_control,A_legacy,control,14,52.86842105263158,52.868421052631575,524.5701823925508,213.78748390542802,-310.7826984871228,310.7826984871228,27.48747019743238,22686
A06_control,A_legacy,control,15,56.64473684210527,56.64473684210527,514.01630787243,214.68731549533717,-299.32899237709285,299.32899237709285,29.007202391949786,19946
A06_control,A_legacy,control,16,60.42105263157895,60.421052631578945,499.5646179624673,215.60518888723072,-283.9594290752366,283.9594290752366,29.332967529072597,23066
A06_control,A_legacy,control,17,64.19736842105263,64.19736842105263,495.0250598464668,215.50892369313277,-279.516136153334,279.516136153334,31.34876481422661,24623
A06_control,A_legacy,control,18,67.97368421052632,67.97368421052632,486.4867244655335,216.99042830049555,-269.49629616503796,269.49629616503796,31.989577274139563,21920
A06_control,A_legacy,control,19,71.75,71.75,468.7498799456037,221.30412238298396,-247.44575756261975,247.44575756261975,33.872002790101696,15292
A06_sepsis,A_legacy,sepsis,1,3.407894736842105,3.4078947368421053,557.2336048748283,160.92045321000782,-396.31315166482045,396.31315166482045,44.45269203318715,19392
A06_sepsis,A_legacy,sepsis,2,6.815789473684211,6.815789473684211,559.2436708316217,157.82961115579982,-401.4140596758218,401.4140596758218,41.87688826449148,21068
A06_sepsis,A_legacy,sepsis,3,10.22368421052632,10.223684210526315,560.3987896274358,157.54880991238574,-402.84997971505004,402.84997971505004,38.982238031492464,21154
A06_sepsis,A_legacy,sepsis,4,13.63157894736842,13.631578947368421,560.8155344757931,158.53577664446027,-402.27975783133286,402.27975783133286,37.5617834845918,21144
A06_sepsis,A_legacy,sepsis,5,17.03947368421053,17.039473684210527,561.1513433894442,158.2063746619181,-402.9449687275261,402.9449687275261,36.30740445065917,21920
A06_sepsis,A_legacy,sepsis,6,20.44736842105263,20.44736842105263,562.5352283392697,156.69154129120693,-405.84368704806275,405.84368704806275,34.78135075390323,23126
A06_sepsis,A_legacy,sepsis,7,23.85526315789474,23.855263157894736,564.515324039244,155.16055404318703,-409.3547699960569,409.3547699960569,33.34769260480447,22021
A06_sepsis,A_legacy,sepsis,8,27.26315789473684,27.263157894736842,565.4026943513294,153.4187843548186,-411.98390999651076,411.98390999651076,33.397646043976835,21186
A06_sepsis,A_legacy,sepsis,9,30.67105263157895,30.67105263157895,563.8010805937621,151.8082644730867,-411.9928161206754,411.9928161206754,33.48010847662674,20646
A06_sepsis,A_legacy,sepsis,10,34.07894736842105,34.078947368421055,564.01905988649,151.7380602887209,-412.2809995977691,412.2809995977691,33.043954232560516,20242
A06_sepsis,A_legacy,sepsis,11,37.48684210526316,37.48684210526316,567.9904496523931,152.69054154395917,-415.2999081084339,415.2999081084339,33.40934511989018,20507
A06_sepsis,A_legacy,sepsis,12,40.89473684210526,40.89473684210526,569.2992909416753,155.52642876784688,-413.7728621738284,413.7728621738284,32.476628283834046,22135
A06_sepsis,A_legacy,sepsis,13,44.30263157894737,44.30263157894737,566.9952070847053,158.67015692357342,-408.32505016113186,408.32505016113186,32.807347106242915,21939
A06_sepsis,A_legacy,sepsis,14,47.71052631578947,47.71052631578947,566.1030653000455,161.13165175020626,-404.9714135498392,404.9714135498392,34.02024184439594,21425
A06_sepsis,A_legacy,sepsis,15,51.11842105263158,51.11842105263158,560.438454051932,161.63910692684405,-398.79934712508793,398.79934712508793,35.5971434176067,21847
A06_sepsis,A_legacy,sepsis,16,54.52631578947368,54.526315789473685,559.1539981460769,161.41251799806338,-397.7414801480135,397.7414801480135,37.28949338367374,21726
A06_sepsis,A_legacy,sepsis,17,57.93421052631579,57.934210526315795,557.5640646558861,162.6947155636396,-394.8693490922465,394.8693490922465,39.36298461980214,21149
A06_sepsis,A_legacy,sepsis,18,61.3421052631579,61.3421052631579,553.6478422288675,164.07118281057095,-389.5766594182966,389.5766594182966,41.193887072117384,21705
A06_sepsis,A_legacy,sepsis,19,64.75,64.75,550.1015754976037,167.0312820346341,-383.0702934629696,383.0702934629696,42.91121773361482,15565
A07_control,A_legacy,control,1,3.776315789473684,3.776315789473684,463.581574911175,446.24188006394587,-17.33969484722911,17.33969484722911,49.02073735664545,25471
A07_control,A_legacy,control,2,7.552631578947368,7.552631578947368,479.8822450752279,465.9657087351338,-13.916536340094126,13.916536340094126,45.10175851593287,23382
A07_control,A_legacy,control,3,11.32894736842105,11.328947368421053,486.8157178991975,477.56823606632423,-9.24748183287329,9.24748183287329,40.5280389283508,19838
A07_control,A_legacy,control,4,15.10526315789474,15.105263157894736,492.9779131604483,496.29779089221273,3.31987773176445,3.31987773176445,34.68236288625613,19739
A07_control,A_legacy,control,5,18.88157894736842,18.881578947368425,509.0915952734761,512.9708222636792,3.879226990203108,3.879226990203108,30.367918379253172,16437
A07_control,A_legacy,control,6,22.65789473684211,22.657894736842106,518.9359718846018,518.5352072773038,-0.4007646072980151,0.4007646072980151,30.120129902356407,17482
A07_control,A_legacy,control,7,26.43421052631579,26.434210526315788,523.9541438077175,520.937658889331,-3.0164849183864817,3.0164849183864817,30.110055916662965,23159
A07_control,A_legacy,control,8,30.21052631578947,30.210526315789473,525.3635252468608,520.7196491560251,-4.643876090835761,4.643876090835761,31.00164849585865,19325
A07_control,A_legacy,control,9,33.98684210526316,33.98684210526316,527.2624271378364,521.3408030304097,-5.921624107426737,5.921624107426737,31.401642749626017,18522
A07_control,A_legacy,control,10,37.76315789473685,37.76315789473685,528.2306309824129,522.3660161457827,-5.864614836630153,5.864614836630153,31.67984480443235,20920
A07_control,A_legacy,control,11,41.53947368421053,41.53947368421053,529.4324597532669,524.4520027553508,-4.9804569979161215,4.9804569979161215,31.43834381101552,18313
A07_control,A_legacy,control,12,45.31578947368421,45.31578947368421,529.5276446960855,525.7315176360579,-3.7961270600276293,3.7961270600276293,31.50947462180472,19773
A07_control,A_legacy,control,13,49.0921052631579,49.0921052631579,529.257119815141,527.0869689812589,-2.170150833882076,2.170150833882076,30.77464193333625,25112
A07_control,A_legacy,control,14,52.86842105263158,52.868421052631575,524.5701823925508,524.7063912432859,0.1362088507351018,0.1362088507351018,30.455263693364284,22293
A07_control,A_legacy,control,15,56.64473684210527,56.64473684210527,514.01630787243,518.1233752252948,4.10706735286476,4.10706735286476,31.739767659968944,19691
A07_control,A_legacy,control,16,60.42105263157895,60.421052631578945,499.5646179624673,500.2879559907084,0.7233380282410735,0.7233380282410735,37.06797638812261,23220
A07_control,A_legacy,control,17,64.19736842105263,64.19736842105263,495.0250598464668,484.3825203115426,-10.642539534924197,10.642539534924197,43.833246476237555,25500
A07_control,A_legacy,control,18,67.97368421052632,67.97368421052632,486.4867244655335,471.19331063118517,-15.293413834348314,15.293413834348314,48.641584218385056,24831
A07_control,A_legacy,control,19,71.75,71.75,468.7498799456037,447.8487192370034,-20.901160708600287,20.901160708600287,50.37065734405641,16240
A07_sepsis,A_legacy,sepsis,1,3.407894736842105,3.4078947368421053,557.2336048748283,544.2257030018137,-13.007901873014589,13.007901873014589,74.60047600341454,18377
A07_sepsis,A_legacy,sepsis,2,6.815789473684211,6.815789473684211,559.2436708316217,544.7381427337968,-14.505528097824822,14.505528097824822,72.47116266808827,21543
A07_sepsis,A_legacy,sepsis,3,10.22368421052632,10.223684210526315,560.3987896274358,546.5607762144433,-13.838013412992495,13.838013412992495,68.04018041397576,20507
A07_sepsis,A_legacy,sepsis,4,13.63157894736842,13.631578947368421,560.8155344757931,549.8037045841355,-11.011829891657612,11.011829891657612,66.96734997586353,20508
A07_sepsis,A_legacy,sepsis,5,17.03947368421053,17.039473684210527,561.1513433894442,552.797774759696,-8.35356862974811,8.35356862974811,68.99739929468574,21890
A07_sepsis,A_legacy,sepsis,6,20.44736842105263,20.44736842105263,562.5352283392697,554.0804052757566,-8.454823063513118,8.454823063513118,68.05258753480224,22766
A07_sepsis,A_legacy,sepsis,7,23.85526315789474,23.855263157894736,564.515324039244,553.6496621387237,-10.865661900520308,10.865661900520308,67.77513941078351,21487
A07_sepsis,A_legacy,sepsis,8,27.26315789473684,27.263157894736842,565.4026943513294,553.4988794125505,-11.90381493877885,11.90381493877885,68.27847829214917,20137
A07_sepsis,A_legacy,sepsis,9,30.67105263157895,30.67105263157895,563.8010805937621,552.912825274956,-10.888255318806046,10.888255318806046,68.93079459342633,20349
A07_sepsis,A_legacy,sepsis,10,34.07894736842105,34.078947368421055,564.01905988649,551.0963298893456,-12.922729997144415,12.922729997144415,69.56532754060657,20019
A07_sepsis,A_legacy,sepsis,11,37.48684210526316,37.48684210526316,567.9904496523931,554.092468326742,-13.897981325651017,13.897981325651017,68.723963315979,20416
A07_sepsis,A_legacy,sepsis,12,40.89473684210526,40.89473684210526,569.2992909416753,555.8593309038264,-13.439960037848891,13.439960037848891,67.31316201733623,22268
A07_sepsis,A_legacy,sepsis,13,44.30263157894737,44.30263157894737,566.9952070847053,557.5870161400871,-9.408190944618127,9.408190944618127,65.65674578548877,22405
A07_sepsis,A_legacy,sepsis,14,47.71052631578947,47.71052631578947,566.1030653000455,557.8709811229392,-8.232084177106344,8.232084177106344,66.85785402958643,21809
A07_sepsis,A_legacy,sepsis,15,51.11842105263158,51.11842105263158,560.438454051932,553.9299487790283,-6.508505272903676,6.508505272903676,66.03822572681091,21732
A07_sepsis,A_legacy,sepsis,16,54.52631578947368,54.526315789473685,559.1539981460769,547.1434756404742,-12.010522505602694,12.010522505602694,65.11196770117837,21743
A07_sepsis,A_legacy,sepsis,17,57.93421052631579,57.934210526315795,557.5640646558861,541.335510266204,-16.22855438968213,16.22855438968213,68.17558370944839,22334
A07_sepsis,A_legacy,sepsis,18,61.3421052631579,61.3421052631579,553.6478422288675,536.5236102050482,-17.12423202381933,17.12423202381933,69.14941113525086,24807
A07_sepsis,A_legacy,sepsis,19,64.75,64.75,550.1015754976037,530.4676866045631,-19.633888893040535,19.633888893040535,68.78698468091264,15746
A08_control,A_legacy,control,1,3.776315789473684,3.776315789473684,463.581574911175,455.0145317304694,-8.567043180705582,8.567043180705582,50.8278811547914,39347
A08_control,A_legacy,control,2,7.552631578947368,7.552631578947368,479.8822450752279,470.96461730283363,-8.917627772394269,8.917627772394269,45.791988722050526,39321
A08_control,A_legacy,control,3,11.32894736842105,11.328947368421053,486.8157178991975,478.8456577484344,-7.970060150763118,7.970060150763118,41.33618017503818,41639
